# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.016237566123e-03      -2.278049982818e-02      -2.132081893002e-03      -2.644357476493e-01      -1.644160060387e-02      -2.676945872655e-04      -4.738640139689e-01       2.161391195552e-03      -1.805589785148e-01       2.064492888418e+03 
       1.085157739717e-03      -2.758920109631e-02      -2.583875564499e-03      -2.755001370898e-01      -1.854049092294e-02      -3.959103176038e-04      -5.401935333949e-01       2.740134010308e-03      -2.187339327188e-01       2.194248688843e+03 
       1.157893933083e-03      -3.333118975745e-02      -3.123876196109e-03      -2.879642306797e-01      -2.118387188404e-02      -4.285208775109e-04      -6.148827872024e-01       3.471535202070e-03      -2.643385547891e-01       2.330001770684e+03 
       1.234389463579e-03      -4.015012751496e-02      -3.765816983064e-03      -3.019436923849e-01      -2.389365575757e-02      -5.739786520651e-04      -6.986191462714e-01       4.390819247889e-03      -3.185220966733e-01       2.471466774689e+03 
       1.314548237718e-03      -4.820022689035e-02      -4.524486436689e-03      -3.175506138535e-01      -2.705232730316e-02      -6.867682864100e-04      -7.920628028327e-01       5.538520996246e-03      -3.825196690686e-01       2.618280758748e+03 
       1.398239619509e-03      -5.764447015018e-02      -5.415569993048e-03      -3.348906577000e-01      -3.044983451200e-02      -8.647412327862e-04      -8.958366404556e-01       6.961440372551e-03      -4.576383030791e-01       2.770007533469e+03 
       1.485304683764e-03      -6.865320312849e-02      -6.455525486359e-03      -3.540622667567e-01      -3.420022691135e-02      -1.072229315660e-03      -1.010517002951e+00       8.712360009480e-03      -5.452458847406e-01       2.926176239526e+03 
       1.575563203249e-03      -8.140217543044e-02      -7.661406131493e-03      -3.751553381882e-01      -3.829047245542e-02      -1.325857464076e-03      -1.136628081706e+00       1.085034924980e-02      -6.467556757300e-01       3.086290526059e+03 
       1.668820731233e-03      -9.607031663900e-02      -9.050657821917e-03      -3.982508859007e-01      -4.269797419319e-02      -1.645219464204e-03      -1.274638614918e+00       1.344059165038e-02      -7.636087101258e-01       3.249830832442e+03 
       1.764875244855e-03      -1.128380321823e-01      -1.064096352118e-02      -4.234208151015e-01      -4.746699146469e-02      -2.022958257090e-03      -1.424961224368e+00       1.655422045631e-02      -8.972602262044e-01       3.416275682078e+03 
