# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.353863051522e-10       3.634084942658e-14      -5.507218197184e-13       0.000000000000e+00       2.997634017484e-11       3.618725158561e-12      -8.456015877275e-15 
   67       2.386421922556e-10       3.796509650773e-14      -6.038503171471e-13       0.000000000000e+00       2.895086620424e-11       3.507503553600e-12      -8.618890047580e-15 
   68       2.419257445536e-10       3.962377906820e-14      -6.587239453684e-13       0.000000000000e+00       2.796672718418e-11       3.401005670396e-12      -8.793198501330e-15 
   69       2.452378335166e-10       4.131602743529e-14      -7.153206076804e-13       0.000000000000e+00       2.702322883792e-11       3.299171509076e-12      -8.976668872634e-15 
   70       2.485799376366e-10       4.304087486307e-14      -7.736135981259e-13       0.000000000000e+00       2.612060387113e-11       3.201968539164e-12      -9.164306812732e-15 
   71       2.519531500718e-10       4.479727172738e-14      -8.335730622977e-13       0.000000000000e+00       2.525836314329e-11       3.109275496327e-12      -9.350482850906e-15 
   72       2.553581519861e-10       4.658408383278e-14      -8.951659485535e-13       0.000000000000e+00       2.443525829549e-11       3.020877897827e-12      -9.528909133554e-15 
   73       2.587951858880e-10       4.840009071960e-14      -9.583559592312e-13       0.000000000000e+00       2.364924437833e-11       2.936463557975e-12      -9.692616163259e-15 
   74       2.622640289696e-10       5.024398397094e-14      -1.023103501863e-12       0.000000000000e+00       2.289744247974e-11       2.855618103580e-12      -9.833929537864e-15 
   75       2.657639664453e-10       5.211436551964e-14      -1.089365640391e-12       0.000000000000e+00       2.217610235284e-11       2.777820489403e-12      -9.944446689540e-15 
   76       2.692942733058e-10       5.400980228145e-14      -1.157099707744e-12       0.000000000000e+00       2.148153696914e-11       2.702572591285e-12      -1.001697153571e-14 
   77       2.728558199335e-10       5.592900529874e-14      -1.226275011947e-12       0.000000000000e+00       2.081320553816e-11       2.629825181509e-12      -1.005177714561e-14 
   78       2.764497122016e-10       5.787068034041e-14      -1.296863185962e-12       0.000000000000e+00       2.017112740564e-11       2.559621845479e-12      -1.005144814665e-14 
   79       2.800767930611e-10       5.983347394458e-14      -1.368834741571e-12       0.000000000000e+00       1.955494284368e-11       2.491970088114e-12      -1.001904074075e-14 
   80       2.837376263052e-10       6.181597288060e-14      -1.442159095669e-12       0.000000000000e+00       1.896389560869e-11       2.426839598677e-12      -9.958099591969e-15 
   81       2.874324803344e-10       6.381670361103e-14      -1.516804596555e-12       0.000000000000e+00       1.839681549936e-11       2.364160515591e-12      -9.872674714186e-15 
   82       2.911613119203e-10       6.583413175369e-14      -1.592738550235e-12       0.000000000000e+00       1.785210091465e-11       2.303821691269e-12      -9.767338358706e-15 
   83       2.949237499702e-10       6.786666154366e-14      -1.669927246705e-12       0.000000000000e+00       1.732770141172e-11       2.245668956933e-12      -9.647201901913e-15 
   84       2.987193506356e-10       6.991266384774e-14      -1.748333401837e-12       0.000000000000e+00       1.682161808738e-11       2.189545312728e-12      -9.517100977019e-15 
