# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       7.403220893776e-03      -5.517079835732e+00      -5.572175297852e-01      -4.224440163401e+00      -2.188311220900e-01      -4.878687417488e-01      -2.347295740641e+01       2.644842286420e+00      -4.469514755381e+01       1.016736779252e+04 
       7.530427936763e-03      -5.752226262785e+00      -5.819672429643e-01      -4.360364171521e+00      -2.077098337475e-01      -5.193033208128e-01      -2.424228263852e+01       2.794631640189e+00      -4.661753927715e+01       1.026326732579e+04 
       7.657719846094e-03      -5.992400821382e+00      -6.073148644782e-01      -4.498534577769e+00      -1.953424444691e-01      -5.521329214120e-01      -2.502255380486e+01       2.949748297322e+00      -4.858219847577e+01       1.035720507326e+04 
       7.785093185431e-03      -6.237578086861e+00      -6.332611212270e-01      -4.638945649357e+00      -1.816897877499e-01      -5.863893205350e-01      -2.581366114617e+01       3.110251382382e+00      -5.058897347597e+01       1.044922509605e+04 
       7.912544743812e-03      -6.487709016212e+00      -6.598045284354e-01      -4.781591653498e+00      -1.667180733306e-01      -6.221020012011e-01      -2.661549447851e+01       3.276197446727e+00      -5.263753556859e+01       1.053933401449e+04 
       8.040071519298e-03      -6.742760171924e+00      -6.869450404562e-01      -4.926466878468e+00      -1.503896700863e-01      -6.593018372766e-01      -2.742794329230e+01       3.447640468506e+00      -5.472767127441e+01       1.062756408838e+04 
       8.167670704038e-03      -7.002702867138e+00      -7.146830423216e-01      -5.073565613683e+00      -1.326647503115e-01      -6.980204553571e-01      -2.825089681723e+01       3.624632221563e+00      -5.685920213003e+01       1.071395795765e+04 
       8.295339670612e-03      -7.267463007689e+00      -7.430146725982e-01      -5.222882169621e+00      -1.135084140930e-01      -7.382873061659e-01      -2.908424396872e+01       3.807221635552e+00      -5.903161315339e+01       1.079849893882e+04 
       8.423075959523e-03      -7.536961775083e+00      -7.719356176684e-01      -5.374410856192e+00      -9.288662955305e-02      -7.801313605318e-01      -2.992787348743e+01       3.995455652152e+00      -6.124435425775e+01       1.088116645387e+04 
       8.550877267735e-03      -7.811163183222e+00      -8.014455296165e-01      -5.528146005509e+00      -7.076196495652e-02      -8.235827330400e-01      -3.078167389770e+01       4.189378270933e+00      -6.349719249755e+01       1.096200320896e+04 
       8.678741438163e-03      -8.090031124500e+00      -8.315440350551e-01      -5.684081983272e+00      -4.709774996826e-02      -8.686710883401e-01      -3.164553360429e+01       4.389031612225e+00      -6.578989385332e+01       1.104105358006e+04 
       8.806666450016e-03      -8.373507302107e+00      -8.622286699895e-01      -5.842213154042e+00      -2.186088026971e-02      -9.154244181998e-01      -3.251934089244e+01       4.594454887271e+00      -6.812205961769e+01       1.111833307592e+04 
       8.934650409929e-03      -8.661529247106e+00      -8.934965658465e-01      -6.002533925649e+00       4.982261428947e-03      -9.638707577016e-01      -3.340298395969e+01       4.805685396191e+00      -7.049326043296e+01       1.119385418420e+04 
