# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       6.807951847174e-04      -9.035763223652e-03      -4.971892750964e-03       6.039067339233e-06      -9.450471743361e-05       3.766959339835e-05      -5.413128939960e-05      -1.502935310669e-07       1.252446092224e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.039015542208e+02 
       7.279234067888e-04      -1.100231992004e-02      -6.054075059180e-03       7.896103317795e-06      -1.151029391156e-04      -2.907952108673e-06      -2.307631924923e-05       1.428927132492e-07       2.840775454636e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.172276196017e+02 
       7.783710154798e-04      -1.339746879283e-02      -7.372145341581e-03       1.031730933154e-05      -1.401998575673e-04       4.090545866572e-05      -6.431652259778e-05      -1.064579178391e-07       1.428927132492e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.314058076428e+02 
       8.323032229236e-04      -1.631028210023e-02      -8.975140847733e-03       1.347745853969e-05      -1.707337168843e-04       2.174075627998e-05      -5.331663014598e-05       5.636007415009e-08       3.603628983536e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.464654969277e+02 
       8.898596308005e-04      -1.984491382854e-02      -1.092041506925e-02       1.759231324632e-05      -2.078027095289e-04       3.571520820081e-05      -7.175434450455e-05       2.391033448792e-08       4.360789575653e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.624267995507e+02 
       9.511477507798e-04      -2.412167394940e-02      -1.327420418702e-02       2.294595099690e-05      -2.526767016059e-04       5.352328375120e-05      -9.480675341930e-05      -9.108698852539e-09       5.448140501175e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.792988981469e+02 
       1.016237566123e-03      -2.927768424603e-02      -1.611204037840e-02       2.987368576794e-05      -3.068047803273e-04       4.641052853472e-05      -9.958426596745e-05       1.104429735870e-07       8.055505547714e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.970787797535e+02 
       1.085157739717e-03      -3.546699160272e-02      -1.951875921802e-02       3.880988863596e-05      -3.718175073674e-04       8.284076959545e-05      -1.430504075981e-04       1.252446092224e-08       9.575519668732e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.157505296502e+02 
       1.157893933083e-03      -4.286016039055e-02      -2.358831978102e-02       5.025439945049e-05      -4.495231413309e-04       8.249350045170e-05      -1.597181879109e-04       1.537092931366e-07       1.337270850288e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.352852832515e+02 
       1.234389463579e-03      -5.164323919933e-02      -2.842323534935e-02       6.483742631341e-05      -5.418978773911e-04       1.196182797999e-04      -2.115779955341e-04       1.104429735870e-07       1.663476127945e-06       1.707881034851e-09       1.707881034851e-09       1.252446092224e-08       3.556419776305e+02 
       1.314548237718e-03      -6.201616339960e-02      -3.413368645220e-02       8.329677383176e-05      -6.510697698144e-04       1.411176555603e-04      -2.559675315109e-04       2.083614862518e-07       2.184379843575e-06       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       3.767683857117e+02 
       1.398239619509e-03      -7.419048821512e-02      -4.083628208299e-02       1.064795509988e-04      -7.792959395780e-04       1.813046656040e-04      -3.222908143247e-04       2.516278058014e-07       2.770752332207e-06       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       3.986017402032e+02 
       1.485304683764e-03      -8.838761594245e-02      -4.865308165281e-02       1.353848682200e-04      -9.289446551000e-04       2.263346569689e-04      -4.005037956094e-04       3.279131586914e-07       3.509126232941e-06       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       4.210742848681e+02 
       1.575563203249e-03      -1.048362791035e-01      -5.771020477527e-02       1.711632680191e-04      -1.102469859571e-03       2.808547739508e-04      -4.960904813679e-04       4.252623776779e-07       4.421134705551e-06       1.707881034851e-09      -9.108698852539e-09       2.391033448792e-08       4.441145952134e+02 
       1.668820731233e-03      -1.237697389515e-01      -6.813632434613e-02       2.150854138860e-04      -1.302382002298e-03       3.506746585365e-04      -6.154895831017e-04       5.339974702301e-07       5.518163623604e-06       1.707881034851e-09      -9.108698852539e-09       2.391033448792e-08       4.676479069176e+02 
       1.764875244855e-03      -1.454235566860e-01      -8.006139417190e-02       2.685956038826e-04      -1.531225646773e-03       4.313851311879e-04      -7.571919032696e-04       6.859988823318e-07       6.842910012970e-06       1.707881034851e-09      -9.108698852539e-09       3.472691437531e-08       4.915991799481e+02 
