# Quadrupole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib1b2 (Mpc/h)^3        7:Ib2 (Mpc/h)^3          8:Ib1bG2 (Mpc/h)^3       9:IbG2 (Mpc/h)^3        10:IFG2 (Mpc/h)^3        11:Ib2b2 (Mpc/h)^3       12:Ib2bG2 (Mpc/h)^3      13:IbG2bG2 (Mpc/h)^3     14:Ptree_vv (Mpc/h)^3    15:Ptree_vd (Mpc/h)^3 
       4.514359905341e-03      -4.224175478276e+00      -7.882110032501e+00       4.759930807833e+00      -8.072274274821e-02       1.265030412099e+00      -2.424020144543e+00      -2.351528145156e-01       1.090626459173e-01      -6.662149963302e+00       3.221737106151e-03       1.905083055633e-02       1.881700057879e-03       2.680378971003e+03       7.877751837433e+03 
       4.637699045358e-03      -4.540671690783e+00      -8.473667112818e+00       4.740687179710e+00      -8.686521796920e-02       1.336268888860e+00      -2.550337038903e+00      -2.591923706984e-01       1.184050193302e-01      -7.161007391843e+00       3.397154705827e-03       2.005819856652e-02       2.060560176429e-03       2.732970765015e+03       8.032319161285e+03 
       4.761344188283e-03      -4.871355257953e+00      -9.091819407698e+00       4.714368631629e+00      -9.329342320561e-02       1.409716664588e+00      -2.679600878004e+00      -2.849589686333e-01       1.282045543534e-01      -7.682153853158e+00       3.577447736565e-03       2.109057337083e-02       2.250658152188e-03       2.784759976358e+03       8.184527571055e+03 
       4.885274526161e-03      -5.216355302993e+00      -9.736812267344e+00       4.681021844532e+00      -1.000108718499e-01       1.485378441647e+00      -2.811762048470e+00      -3.125171730551e-01       1.384641817109e-01      -8.225782443694e+00       3.762605951078e-03       2.214760770010e-02       2.452299126567e-03       2.835742910457e+03       8.334366210602e+03 
       5.009471059116e-03      -5.575786073466e+00      -1.040886275547e+01       4.640619693853e+00      -1.070208176968e-01       1.563265794918e+00      -2.946758060643e+00      -3.419369877301e-01       1.491755083059e-01      -8.792062088254e+00       3.952616824904e-03       2.322896453248e-02       2.665742697485e-03       2.885917820125e+03       8.481829944361e+03 
       5.133916415147e-03      -5.949754562426e+00      -1.110817428582e+01       4.593181290780e+00      -1.143263881564e-01       1.643390093195e+00      -3.084525956904e+00      -3.732883202143e-01       1.603294783838e-01      -9.381150117979e+00       4.147460432765e-03       2.433429659883e-02       2.891283189773e-03       2.935284257472e+03       8.626917456998e+03 
       5.258594689683e-03      -6.338350618079e+00      -1.183491764252e+01       4.538992690586e+00      -1.219304023329e-01       1.725756864319e+00      -3.225011249017e+00      -4.066360483536e-01       1.719226272234e-01      -9.993176281729e+00       4.347114002913e-03       2.546326801588e-02       3.129147182314e-03       2.983842431094e+03       8.769629372204e+03 
       5.383491302649e-03      -6.741657061837e+00      -1.258925030586e+01       4.478395869121e+00      -1.298355555239e-01       1.810369929960e+00      -3.368161479984e+00      -4.420437167086e-01       1.839527841078e-01      -1.062825903756e+01       4.551567288064e-03       2.661551955931e-02       3.379618752655e-03       3.031593534935e+03       8.909969211636e+03 
       5.508592871017e-03      -7.159747813070e+00      -1.337131257884e+01       4.411250817145e+00      -1.380443892506e-01       1.897236327156e+00      -3.513917960183e+00      -4.795770069680e-01       1.964116202706e-01      -1.128650212047e+01       4.760787269182e-03       2.779068232683e-02       3.642902277226e-03       3.078540862104e+03       9.047946648382e+03 
       5.633887095065e-03      -7.592689253128e+00      -1.418123036475e+01       4.337021021479e+00      -1.465593162217e-01       1.986365675832e+00      -3.662216819416e+00      -5.193034265456e-01       2.092857800820e-01      -1.196799692941e+01       4.974763129690e-03       2.898840904928e-02       3.919238567252e-03       3.124689510478e+03       9.183576644980e+03 
