# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.889810842095e-02       2.715910318022e+04 
       1.902666677827e-02       2.713299037744e+04 
       1.915528631311e-02       2.710677509157e+04 
       1.928396812057e-02       2.707959137968e+04 
       1.941271332416e-02       2.705039520178e+04 
       1.954152307635e-02       2.702026282405e+04 
       1.967039855913e-02       2.698820226337e+04 
       1.979934098457e-02       2.695459343210e+04 
       1.992835159544e-02       2.692036246192e+04 
       2.005743166578e-02       2.688487963519e+04 
       2.018658250158e-02       2.684808567002e+04 
       2.031580544140e-02       2.681092999701e+04 
       2.044510185708e-02       2.677123213135e+04 
       2.057447315441e-02       2.673131757599e+04 
       2.070392077385e-02       2.669015281256e+04 
       2.083344619133e-02       2.664799937127e+04 
       2.096305091892e-02       2.660433081617e+04 
       2.109273650575e-02       2.655985607336e+04 
       2.122250453870e-02       2.651432822582e+04 
       2.135235664334e-02       2.646847005077e+04 
       2.148229448477e-02       2.642018834119e+04 
       2.161231976851e-02       2.637164741021e+04 
       2.174243424143e-02       2.632241143619e+04 
       2.187263969274e-02       2.627157050586e+04 
       2.200293795492e-02       2.622078012835e+04 
       2.213333090478e-02       2.616779703728e+04 
       2.226382046450e-02       2.611452111510e+04 
       2.239440860272e-02       2.606073589097e+04 
       2.252509733563e-02       2.600619914739e+04 
       2.265588872814e-02       2.594949761121e+04 
       2.278678489509e-02       2.589342268036e+04 
       2.291778800242e-02       2.583530347810e+04 
       2.304890026850e-02       2.577771986042e+04 
       2.318012396537e-02       2.571788283985e+04 
       2.331146142014e-02       2.565877754327e+04 
       2.344291501635e-02       2.559738024110e+04 
       2.357448719540e-02       2.553600868552e+04 
       2.370618045804e-02       2.547391672157e+04 
       2.383799736590e-02       2.541114359512e+04 
       2.396994054304e-02       2.534775173426e+04 
       2.410201267761e-02       2.528402076837e+04 
       2.423421652351e-02       2.521869898009e+04 
       2.436655490213e-02       2.515322627685e+04 
       2.449903070413e-02       2.508715978198e+04 
       2.463164689130e-02       2.502036978147e+04 
       2.476440649850e-02       2.495306613472e+04 
       2.489731263556e-02       2.488516760773e+04 
       2.503036848940e-02       2.481668512825e+04 
       2.516357732611e-02       2.474762920157e+04 
       2.529694249311e-02       2.467836772626e+04 
       2.543046742143e-02       2.460790854781e+04 
       2.556415562807e-02       2.453726952555e+04 
       2.569801071834e-02       2.446609756790e+04 
       2.583203638843e-02       2.439445950905e+04 
       2.596623642796e-02       2.432237489972e+04 
       2.610061472266e-02       2.424969862782e+04 
       2.623517525713e-02       2.417670900746e+04 
       2.636992211774e-02       2.410328313776e+04 
       2.650485949557e-02       2.402939162341e+04 
       2.663999168948e-02       2.395498949733e+04 
       2.677532310935e-02       2.388066677438e+04 
       2.691085827932e-02       2.380541889202e+04 
       2.704660184128e-02       2.372962443419e+04 
       2.718255855838e-02       2.365379815074e+04 
       2.731873331873e-02       2.357753539940e+04 
       2.745513113922e-02       2.350096767038e+04 
       2.759175716952e-02       2.342415164903e+04 
       2.772861669615e-02       2.334712227503e+04 
       2.786571514680e-02       2.326956012292e+04 
       2.800305809477e-02       2.319160308661e+04 
       2.814065126356e-02       2.311359206874e+04 
       2.827850053172e-02       2.303507436865e+04 
       2.841661193776e-02       2.295656448746e+04 
       2.855499168544e-02       2.287756416111e+04 
       2.869364614908e-02       2.279825937333e+04 
       2.883258187923e-02       2.271881197078e+04 
       2.897180560847e-02       2.263917841728e+04 
       2.911132425755e-02       2.255925790940e+04 
       2.925114494169e-02       2.247918203163e+04 
       2.939127497719e-02       2.239883362263e+04 
       2.953172188832e-02       2.231822609143e+04 
       2.967249341449e-02       2.223765126122e+04 
       2.981359751776e-02       2.215678124963e+04 
       2.995504239059e-02       2.207570802643e+04 
       3.009683646406e-02       2.199440169337e+04 
       3.023898841634e-02       2.191302562069e+04 
       3.038150718158e-02       2.183154777477e+04 
       3.052440195921e-02       2.174994623411e+04 
       3.066768222362e-02       2.166820078054e+04 
       3.081135773435e-02       2.158644276971e+04 
       3.095543854669e-02       2.150430786557e+04 
       3.109993502279e-02       2.142220140712e+04 
       3.124485784329e-02       2.134006678934e+04 
       3.139021801953e-02       2.125779241035e+04 
       3.153602690629e-02       2.117543369774e+04 
       3.168229621522e-02       2.109286259994e+04 
       3.182903802885e-02       2.101036804907e+04 
       3.197626481530e-02       2.092768538901e+04 
       3.212398944383e-02       2.084507857966e+04 
       3.227222520100e-02       2.076236604755e+04 
       3.242098580778e-02       2.067952849048e+04 
       3.257028543748e-02       2.059678794155e+04 
       3.272013873466e-02       2.051393920937e+04 
       3.287056083495e-02       2.043127710944e+04 
       3.302156738596e-02       2.034814021909e+04 
       3.317317456938e-02       2.026512842739e+04 
       3.332539912412e-02       2.018221071771e+04 
       3.347825837086e-02       2.009940014371e+04 
       3.363177023784e-02       2.001622374978e+04 
       3.378595328823e-02       1.993316126300e+04 
       3.394082674884e-02       1.985013665819e+04 
       3.409641054072e-02       1.976709240974e+04 
       3.425272531126e-02       1.968415463440e+04 
       3.440979246840e-02       1.960110703607e+04 
       3.456763421671e-02       1.951826579748e+04 
       3.472627359569e-02       1.943516389219e+04 
       3.488573452033e-02       1.935225951397e+04 
       3.504604182423e-02       1.926952471343e+04 
       3.520722130534e-02       1.918619617091e+04 
       3.536929977455e-02       1.910337101624e+04 
       3.553230510739e-02       1.902038341070e+04 
       3.569626629907e-02       1.893751583813e+04 
       3.586121352304e-02       1.885479034688e+04 
       3.602717819344e-02       1.877189826934e+04 
       3.619419303176e-02       1.868903211554e+04 
       3.636229213791e-02       1.860623637266e+04 
       3.653151106621e-02       1.852343327194e+04 
       3.670188690668e-02       1.844069564777e+04 
       3.687345837198e-02       1.835800001207e+04 
       3.704626589063e-02       1.827534429754e+04 
       3.722035170685e-02       1.819279093500e+04 
       3.739575998785e-02       1.811007372768e+04 
       3.757253693902e-02       1.802742782918e+04 
       3.775073092779e-02       1.794503839845e+04 
       3.793039261706e-02       1.786229990181e+04 
       3.811157510886e-02       1.777980139957e+04 
       3.829433409945e-02       1.769734508530e+04 
       3.847872804676e-02       1.761481552278e+04 
       3.866481835150e-02       1.753234473688e+04 
       3.885266955312e-02       1.744985884346e+04 
       3.904234954228e-02       1.736732889409e+04 
       3.923392979140e-02       1.728488718955e+04 
       3.942748560519e-02       1.720242006322e+04 
       3.962309639317e-02       1.711991903429e+04 
       3.982084596664e-02       1.703742639994e+04 
       4.002082286273e-02       1.695510743031e+04 
       4.022312069830e-02       1.687238390060e+04 
       4.042783855743e-02       1.679002319350e+04 
       4.063508141591e-02       1.670732760628e+04 
       4.084496060727e-02       1.662458878393e+04 
       4.105759433523e-02       1.654183093833e+04 
       4.127310823805e-02       1.645915854230e+04 
       4.149163601122e-02       1.637649012617e+04 
       4.171332009580e-02       1.629331146687e+04 
       4.193831244066e-02       1.621033581039e+04 
       4.216677534828e-02       1.612725711174e+04 
       4.239888241525e-02       1.604402933355e+04 
       4.263481958009e-02       1.596071960832e+04 
       4.287478629332e-02       1.587721137437e+04 
       4.311899682700e-02       1.579355651057e+04 
       4.336768174376e-02       1.570979394571e+04 
       4.362108954874e-02       1.562585929006e+04 
       4.387948855200e-02       1.554170362171e+04 
       4.414316897381e-02       1.545724573470e+04 
       4.441244533075e-02       1.537265203292e+04 
       4.468765914812e-02       1.528760658128e+04 
       4.496918205220e-02       1.520257769076e+04 
       4.525741930661e-02       1.511692944753e+04 
       4.555281386928e-02       1.503139007695e+04 
       4.585585106264e-02       1.494497101880e+04 
       4.616706396803e-02       1.485809149323e+04 
       4.648703967949e-02       1.477092556227e+04 
       4.681642658099e-02       1.468331256422e+04 
       4.715594284790e-02       1.459517045311e+04 
       4.750638641878e-02       1.450672640098e+04 
       4.786864674137e-02       1.441699734454e+04 
       4.824371866852e-02       1.432715160685e+04 
       4.863271897149e-02       1.423651645408e+04 
       4.903690605431e-02       1.414462272666e+04 
       4.945770360062e-02       1.405221055250e+04 
       4.989672907282e-02       1.395855854776e+04 
       5.035582822378e-02       1.386369677145e+04 
       5.083711708661e-02       1.376766720402e+04 
       5.134303329469e-02       1.367009236309e+04 
       5.187639906779e-02       1.357087096268e+04 
       5.244049879457e-02       1.346982501511e+04 
       5.303917484706e-02       1.336656516557e+04 
       5.367694605009e-02       1.326037116413e+04 
       5.435915399485e-02       1.315197070311e+04 
       5.509214288251e-02       1.303985067548e+04 
       5.588347825914e-02       1.292353248812e+04 
       5.674220772747e-02       1.280247752535e+04 
       5.767916028925e-02       1.267416738006e+04 
       5.870726632500e-02       1.253859187357e+04 
       5.984185044451e-02       1.239223236038e+04 
       6.110079433012e-02       1.223268299742e+04 
       6.250437556796e-02       1.205490520598e+04 
       6.407446340812e-02       1.185458879866e+04 
       6.583264392210e-02       1.162324539662e+04 
       6.779691355659e-02       1.135358052917e+04 
       6.997710131396e-02       1.103481863152e+04 
       7.237030982419e-02       1.066140868918e+04 
       7.495880655882e-02       1.022926292044e+04 
       7.771242161902e-02       9.744836084014e+03 
       8.059491365511e-02       9.220728778770e+03 
