# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       2.803715646833e-10       6.007799085173e-14      -1.369007703464e-12       2.745300656572e-16       1.955494284368e-11       2.491970088114e-12      -1.001904074075e-14 
   80       2.840368431889e-10       6.206549584030e-14      -1.442281161407e-12       2.815454460093e-16       1.896389560869e-11       2.426839598677e-12      -9.958099591969e-15 
   81       2.877360610707e-10       6.407123749948e-14      -1.516871027825e-12       2.886509100560e-16       1.839681549936e-11       2.364160515591e-12      -9.872674714186e-15 
   82       2.914691712554e-10       6.609368087280e-14      -1.592744405401e-12       2.958465248868e-16       1.785210091465e-11       2.303821691269e-12      -9.767338358706e-15 
   83       2.952357988320e-10       6.813122974401e-14      -1.669867376967e-12       3.031323585434e-16       1.732770141172e-11       2.245668956933e-12      -9.647201901913e-15 
   84       2.990354961518e-10       7.018225459199e-14      -1.748202455465e-12       3.105084874728e-16       1.682161808738e-11       2.189545312728e-12      -9.517100977019e-15 
   85       3.028685922776e-10       7.224518294884e-14      -1.827700390516e-12       3.179750202415e-16       1.633353823943e-11       2.135422954185e-12      -9.378958664338e-15 
   86       3.067354552466e-10       7.431842311261e-14      -1.908307045436e-12       3.255320778288e-16       1.586344097837e-11       2.083290053354e-12      -9.234014104047e-15 
   87       3.106362217565e-10       7.640033693681e-14      -1.989965836042e-12       3.331797867091e-16       1.541109488803e-11       2.033109764174e-12      -9.083618252154e-15 
   88       3.145707854924e-10       7.848923977560e-14      -2.072617713636e-12       3.409182790072e-16       1.497604928640e-11       1.984819191922e-12      -8.929236789047e-15 
   89       3.185387854535e-10       8.058340042904e-14      -2.156201147995e-12       3.487476926559e-16       1.455762548656e-11       1.938328362667e-12      -8.772453028044e-15 
   90       3.225395942796e-10       8.268104108837e-14      -2.240652110364e-12       3.566681715513e-16       1.415490805752e-11       1.893519192717e-12      -8.614970823944e-15 
   91       3.265723065784e-10       8.478033728120e-14      -2.325904056442e-12       3.646798657102e-16       1.376673608513e-11       1.850244458068e-12      -8.458617481575e-15 
   92       3.306357272518e-10       8.687941781678e-14      -2.411887909369e-12       3.727829314260e-16       1.339169443298e-11       1.808326763859e-12      -8.305346664345e-15 
   93       3.347287240415e-10       8.897639138710e-14      -2.498534563604e-12       3.809775975004e-16       1.302845060704e-11       1.767600851971e-12      -8.156921663892e-15 
   94       3.388513711729e-10       9.106943106580e-14      -2.585782864264e-12       3.892643749938e-16       1.267684228667e-11       1.728050040982e-12      -8.013904400293e-15 
   95       3.430039569328e-10       9.315670247584e-14      -2.673572802010e-12       3.976438794574e-16       1.233693796172e-11       1.689688496891e-12      -7.876519037516e-15 
   96       3.471866281930e-10       9.523633857285e-14      -2.761843116447e-12       4.061167687180e-16       1.200870196108e-11       1.652519293572e-12      -7.744956614709e-15 
   97       3.513993837360e-10       9.730643995638e-14      -2.850531313721e-12       4.146837439416e-16       1.169199045769e-11       1.616533977120e-12      -7.619373567114e-15 
   98       3.556420675817e-10       9.936507518096e-14      -2.939573684112e-12       4.233455506966e-16       1.138654747342e-11       1.581712130196e-12      -7.499890246993e-15 
   99       3.599143623140e-10       1.014102810673e-13      -3.028905319621e-12       4.321029800174e-16       1.109200088399e-11       1.548020936373e-12      -7.386589444542e-15 
  100       3.642157824065e-10       1.034400630133e-13      -3.118460131570e-12       4.409568694678e-16       1.080785842397e-11       1.515414744482e-12      -7.279514908813e-15 
  101       3.685456675495e-10       1.054523953055e-13      -3.208170868192e-12       4.499081042044e-16       1.053350369164e-11       1.483834632960e-12      -7.178669868629e-15 
  102       3.729031759758e-10       1.074452214297e-13      -3.297969132221e-12       4.589576180402e-16       1.026819215395e-11       1.453207974189e-12      -7.084015553507e-15 
  103       3.772872777873e-10       1.094164543828e-13      -3.387785398489e-12       4.681063945079e-16       1.001104715147e-11       1.423447998851e-12      -6.995469714574e-15 
  104       3.816969635558e-10       1.113640346504e-13      -3.477549421276e-12       4.773553884029e-16       9.761259182112e-12       1.394474350433e-12      -6.912878755928e-15 
  105       3.861319165909e-10       1.132861123920e-13      -3.567191481131e-12       4.867052760527e-16       9.518723016263e-12       1.366278849328e-12      -6.835933026932e-15 
  106       3.905919194667e-10       1.151808905611e-13      -3.656641340061e-12       4.961566731381e-16       9.283479599329e-12       1.338867841681e-12      -6.764237276447e-15 
  107       3.950766426010e-10       1.170465703695e-13      -3.745827888427e-12       5.057102113886e-16       9.055518718414e-12       1.312241800012e-12      -6.697334272828e-15 
  108       3.995856399473e-10       1.188813522318e-13      -3.834679166814e-12       5.153665387714e-16       8.834777241081e-12       1.286395118217e-12      -6.634703034849e-15 
  109       4.041183446869e-10       1.206834367103e-13      -3.923122387913e-12       5.251263196815e-16       8.621137354119e-12       1.261315906583e-12      -6.575757062628e-15 
  110       4.086740649208e-10       1.224510254602e-13      -4.011083958395e-12       5.349902351311e-16       8.414424802303e-12       1.236985786788e-12      -6.519842568549e-15 
