# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.094008850266e-03       1.580293265255e+03      -1.931266372726e-03      -2.375203628853e-01      -1.157696036610e-02      -1.650146642289e-04      -3.357150571605e-01       1.526104669185e-03      -1.286711993304e-01 
       1.165566182719e-03       1.679373120522e+03      -2.329187683861e-03      -2.452061723544e-01      -1.309434463695e-02      -2.145117538412e-04      -3.809537903598e-01       1.946212405120e-03      -1.551343757248e-01 
       1.240708735874e-03       1.782717980160e+03      -2.801093181563e-03      -2.537976822059e-01      -1.479279157183e-02      -2.717051356630e-04      -4.315169761345e-01       2.472936012827e-03      -1.865021766805e-01 
       1.319342979432e-03       1.890074938720e+03      -3.357552212391e-03      -2.633592886005e-01      -1.666208056453e-02      -3.473957772303e-04      -4.877792889104e-01       3.128888337115e-03      -2.234703194644e-01 
       1.401344285732e-03       2.001168192010e+03      -4.009833754763e-03      -2.739518838926e-01      -1.872134608524e-02      -4.402656407050e-04      -5.500938563952e-01       3.939936709641e-03      -2.667790616596e-01 
       1.486562608957e-03       2.115682293459e+03      -4.769757195449e-03      -2.856320751201e-01      -2.097349505926e-02      -5.555041635799e-04      -6.187876597280e-01       4.935291546446e-03      -3.172029816777e-01 
       1.574828762325e-03       2.233269466309e+03      -5.649569800090e-03      -2.984516631069e-01      -2.341846970472e-02      -6.993459430861e-04      -6.941584218534e-01       6.147534694040e-03      -3.755425488297e-01 
       1.665960749640e-03       2.353573338980e+03      -6.661850087566e-03      -3.124573642413e-01      -2.606965972748e-02      -8.723478172335e-04      -7.764729490335e-01       7.612590527241e-03      -4.426174384879e-01 
       1.759769698314e-03       2.476231631441e+03      -7.819383530297e-03      -3.276907521179e-01      -2.891344299679e-02      -1.085951704287e-03      -8.659667866345e-01       9.369646362756e-03      -5.192580333020e-01 
       1.856065072773e-03       2.600887423798e+03      -9.135063151321e-03      -3.441883829514e-01      -3.196265819663e-02      -1.340625797005e-03      -9.628449504407e-01       1.146103313547e-02      -6.062986056739e-01 
       1.954658987774e-03       2.727195032448e+03      -1.062179303596e-02      -3.619820548003e-01      -3.520564012674e-02      -1.646749431281e-03      -1.067283461346e+00       1.393207934507e-02      -7.045707106508e-01 
