# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   67       2.411120596542e-10       3.905114733671e-14      -5.962362131197e-13       1.826335657709e-16       2.745417865495e-11       3.200160572040e-12      -1.070648765957e-14 
   68       2.443027705031e-10       4.073450482493e-14      -6.516572493712e-13       1.881442787263e-16       2.651272027928e-11       3.105785656904e-12      -1.051011190236e-14 
   69       2.475230694877e-10       4.244894191000e-14      -7.087457876538e-13       1.937366284118e-16       2.561044354645e-11       3.014958674265e-12      -1.030960795035e-14 
   70       2.507743080828e-10       4.419372643536e-14      -7.674810448402e-13       1.994106828160e-16       2.474755515440e-11       2.927730571402e-12      -1.010674331187e-14 
   71       2.540573894711e-10       4.596808999706e-14      -8.278403816750e-13       2.051665240212e-16       2.392356849418e-11       2.844086637932e-12      -9.903402482016e-15 
   72       2.573727388113e-10       4.777122811191e-14      -8.897993080464e-13       2.110042488744e-16       2.313726780244e-11       2.763943029196e-12      -9.701589179081e-15 
   73       2.607202735056e-10       4.960230038587e-14      -9.533314882569e-13       2.169239696596e-16       2.238667231382e-11       2.687143289669e-12      -9.503428580883e-15 
   74       2.640993734675e-10       5.146043068227e-14      -1.018408746295e-12       2.229258147691e-16       2.166900041351e-11       2.613454876345e-12      -9.311169561161e-15 
   75       2.675088513903e-10       5.334470729012e-14      -1.085001071108e-12       2.290099293747e-16       2.098063378961e-11       2.542565682143e-12      -9.127186925950e-15 
   76       2.709475405922e-10       5.525411947093e-14      -1.153076226462e-12       2.351764688365e-16       2.031801590928e-11       2.474166170603e-12      -8.953670769176e-15 
   77       2.744162480343e-10       5.718735336871e-14      -1.222598486742e-12       2.414255760526e-16       1.968061584160e-11       2.408220756609e-12      -8.791624197064e-15 
   78       2.779161050827e-10       5.914295901601e-14      -1.293529679129e-12       2.477574011801e-16       1.906844228539e-11       2.344739826888e-12      -8.641686047833e-15 
   79       2.814479647329e-10       6.111940953578e-14      -1.365829555761e-12       2.541721090459e-16       1.848114077408e-11       2.283696825711e-12      -8.504423446367e-15 
