# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   53       1.902890935797e-10       1.827548264835e-14      -4.436650832782e-15       0.000000000000e+00       4.689806888009e-11       5.241676496263e-12      -6.150634614935e-15       3.341179594371e-04       9.672089260617e-08       3.173081830587e-12       2.601567730531e-08 
   54       1.929247248539e-10       1.937904291019e-14      -3.364537176904e-14       0.000000000000e+00       4.500453191523e-11       5.051583347064e-12      -6.128479559911e-15       3.423613052128e-04       9.563007342976e-08       3.001989362236e-12       2.558688278130e-08 
   55       1.955909193470e-10       2.051981149357e-14      -6.445140385499e-14       0.000000000000e+00       4.320520898993e-11       4.870206416464e-12      -6.199400439062e-15       3.505626862835e-04       9.454365994934e-08       2.841944236563e-12       2.516754926764e-08 
   56       1.982892461404e-10       2.169768408577e-14      -9.687064125149e-14       0.000000000000e+00       4.149798366808e-11       4.697397097774e-12      -6.352888251523e-15       3.587204215072e-04       9.346441302154e-08       2.692494226628e-12       2.475824269406e-08 
   57       2.010199407762e-10       2.291253078823e-14      -1.309260499745e-13       0.000000000000e+00       3.988191241715e-11       4.533149610754e-12      -6.571259444237e-15       3.668330739122e-04       9.239528255912e-08       2.553353518170e-12       2.435963554972e-08 
   58       2.037819253699e-10       2.416416350347e-14      -1.666420448193e-13       0.000000000000e+00       3.835332701239e-11       4.377197613402e-12      -6.833378563288e-15       3.748996482076e-04       9.133774712088e-08       2.423951173824e-12       2.397182844542e-08 
   59       2.065727150558e-10       2.545233451415e-14      -2.040446424325e-13       0.000000000000e+00       3.690566623182e-11       4.228997791317e-12      -7.114494915263e-15       3.829196014710e-04       9.029170522130e-08       2.303414257615e-12       2.359431052093e-08 
   60       2.093883244320e-10       2.677673506193e-14      -2.431616143844e-13       0.000000000000e+00       3.552930755123e-11       4.087713447072e-12      -7.386079228598e-15       3.908928538372e-04       8.925536663993e-08       2.190550959449e-12       2.322591985233e-08 
   61       2.122248112789e-10       2.813700998488e-14      -2.840162575908e-13       0.000000000000e+00       3.421424052464e-11       3.952461039351e-12      -7.622248139906e-15       3.988195764641e-04       8.822656449962e-08       2.084143188945e-12       2.286536418043e-08 
   62       2.150835242707e-10       2.953280868342e-14      -3.266067252977e-13       0.000000000000e+00       3.295916889590e-11       3.823151592100e-12      -7.821092284319e-15       4.066994756378e-04       8.720728154219e-08       1.983939280245e-12       2.251300925082e-08 
