# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   47       1.749037774824e-10       1.244021144324e-14       1.369211194666e-13       0.000000000000e+00       6.082275599529e-11       6.624196934373e-12      -7.649921777348e-15       2.838783554606e-04       1.033632534956e-07       4.515090333839e-12       2.882401521935e-08 
   48       1.774304479260e-10       1.331943315913e-14       1.174251453302e-13       0.000000000000e+00       5.815413451277e-11       6.360622687259e-12      -7.333049834399e-15       2.923287296635e-04       1.022512457116e-07       4.246995424690e-12       2.832722417366e-08 
   49       1.799752131480e-10       1.423574943871e-14       9.629034595380e-14       0.000000000000e+00       5.564408740985e-11       6.112259852760e-12      -6.994224884485e-15       3.007517214628e-04       1.011409353674e-07       3.999688655201e-12       2.784287478917e-08 
   50       1.825293796848e-10       1.518942793688e-14       7.353454648762e-14       0.000000000000e+00       5.326734363076e-11       5.876575679939e-12      -6.690696457816e-15       3.091443150122e-04       1.000293320185e-07       3.769456831947e-12       2.736880766571e-08 
   51       1.850960273841e-10       1.618059746518e-14       4.916015142848e-14       0.000000000000e+00       5.101947931212e-11       5.653118651463e-12      -6.442249676311e-15       3.175033183880e-04       9.891977293667e-08       3.555376968313e-12       2.690569714566e-08 
   52       1.876809315061e-10       1.720929520303e-14       2.316814323098e-14       0.000000000000e+00       4.889838376190e-11       5.441666678387e-12      -6.258781227945e-15       3.258258747774e-04       9.781583185905e-08       3.356906200697e-12       2.645438071129e-08 
   53       1.902891116066e-10       1.827548264871e-14      -4.436625783767e-15       0.000000000000e+00       4.689712366523e-11       5.241514006950e-12      -6.150613728521e-15       3.341096653576e-04       9.671893183306e-08       3.172958337019e-12       2.601481851208e-08 
   54       1.929247427647e-10       1.937904289050e-14      -3.364534430512e-14       0.000000000000e+00       4.500361842600e-11       5.051438575231e-12      -6.128495217410e-15       3.423529279415e-04       9.562817148489e-08       3.001868758703e-12       2.558602699425e-08 
   55       1.955909437086e-10       2.051981144636e-14      -6.445136945882e-14       0.000000000000e+00       4.320432850794e-11       4.870085521219e-12      -6.199420942113e-15       3.505542687627e-04       9.454182039615e-08       2.841827005700e-12       2.516669963274e-08 
   56       1.982892829228e-10       2.169768400620e-14      -9.687059578108e-14       0.000000000000e+00       4.149713719308e-11       4.697304055957e-12      -6.352884386321e-15       3.587120003610e-04       9.346263825562e-08       2.692380780848e-12       2.475740175266e-08 
   57       2.010199943566e-10       2.291253067526e-14      -1.309259902291e-13       0.000000000000e+00       3.988110026385e-11       4.533085521005e-12      -6.571209818804e-15       3.668246718730e-04       9.239357279455e-08       2.553244095542e-12       2.435880469547e-08 
   58       2.037819982448e-10       2.416416336051e-14      -1.666419687146e-13       0.000000000000e+00       3.835254873263e-11       4.377160262238e-12      -6.833271037205e-15       3.748912718371e-04       9.133610011525e-08       2.423845812323e-12       2.397100774870e-08 
   59       2.065728075405e-10       2.545233434958e-14      -2.040445491846e-13       0.000000000000e+00       3.690492053395e-11       4.228981200198e-12      -7.114328095809e-15       3.829112387797e-04       9.029011598978e-08       2.303312768273e-12       2.359349854566e-08 
   60       2.093884343464e-10       2.677673488980e-14      -2.431615047009e-13       0.000000000000e+00       3.552859221660e-11       4.087707400437e-12      -7.385864033311e-15       3.908844718020e-04       8.925382715856e-08       2.190452898412e-12       2.322511346522e-08 
