# Quadrupole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib1b2 (Mpc/h)^3        7:Ib2 (Mpc/h)^3          8:Ib1bG2 (Mpc/h)^3       9:IbG2 (Mpc/h)^3        10:IFG2 (Mpc/h)^3        11:Ib2b2 (Mpc/h)^3       12:Ib2bG2 (Mpc/h)^3      13:IbG2bG2 (Mpc/h)^3     14:Ptree_vv (Mpc/h)^3    15:Ptree_vd (Mpc/h)^3 
       1.863522970598e-03      -3.519112896504e-01      -6.548824364343e-01      -8.585341367297e-02      -6.585663569669e-03       2.122696475027e-01      -4.342848564336e-01      -8.843421092213e-03       5.399149364397e-03      -5.630773545262e-01       5.653888929443e-04       3.373678742416e-03       8.048446306104e-05       1.289737640014e+03       3.792800600681e+03 
       1.964563180755e-03      -4.094313480599e-01      -7.620332524258e-01      -9.971504923487e-02      -7.667756555186e-03       2.360106404624e-01      -4.820451432754e-01      -1.077735896872e-02       6.544332557521e-03      -6.551648772605e-01       6.281506745067e-04       3.745796985933e-03       9.783596508144e-05       1.351162695266e+03       3.973436552671e+03 
       2.067801897985e-03      -4.740264328860e-01      -8.823860588398e-01      -1.152463827353e-01      -8.884265362057e-03       2.615743489619e-01      -5.333348801345e-01      -1.305050308261e-02       7.889070832987e-03      -7.585864524648e-01       6.956461330040e-04       4.145527680727e-03       1.181523485784e-04       1.413106822019e+03       4.155598966097e+03 
       2.173054556912e-03      -5.461640196326e-01      -1.016817052161e+00      -1.325513728929e-01      -1.024434370308e-02       2.890287466665e-01      -5.881470100464e-01      -1.573015362466e-02       9.412625960683e-03      -8.740909637704e-01       7.679635089564e-04       4.573251684270e-03       1.417694968220e-04       1.475415079972e+03       4.338832199632e+03 
       2.280147742849e-03      -6.262999878606e-01      -1.166181188526e+00      -1.517302871261e-01      -1.175696932579e-02       3.183600105564e-01      -6.465911801122e-01      -1.882359698464e-02       1.119842280552e-02      -1.002408435248e+00       8.451665632558e-04       5.029239980352e-03       1.690563121158e-04       1.537944841091e+03       4.522716819386e+03 
       2.388920162772e-03      -7.148769258315e-01      -1.331309123203e+00      -1.728794163367e-01      -1.343091295865e-02       3.496580173016e-01      -7.085873203146e-01      -2.242728745190e-02       1.318530670199e-02      -1.144247250407e+00       9.272997008092e-04       5.513709469865e-03       2.003503856110e-04       1.600566125785e+03       4.706870587420e+03 
       2.499223011227e-03      -8.123228820463e-01      -1.513004724484e+00      -1.960907219486e-01      -1.527471364737e-02       3.828920791266e-01      -7.742408228535e-01      -2.654540705778e-02       1.546906985086e-02      -1.300292109570e+00       1.014417004516e-03       6.026780843069e-03       2.360314361911e-04       1.663161398631e+03       4.890947861057e+03 
       2.610919883542e-03      -9.190503991540e-01      -1.712043322538e+00      -2.214516998457e-01      -1.729666076093e-02       4.181249805846e-01      -8.434884796214e-01      -3.126180308310e-02       1.801609602973e-02      -1.471202426176e+00       1.106539538242e-03       6.568539494015e-03       2.764786134458e-04       1.725625307020e+03       5.074638824172e+03 
       2.723886368643e-03      -1.035456036314e+00      -1.929170734210e+00      -2.490452870081e-01      -1.950478371139e-02       4.553695131352e-01      -9.163387497529e-01      -3.662394892770e-02       2.085581032095e-02      -1.657611530331e+00       1.203711706895e-03       7.139008194450e-03       3.220733441396e-04       1.787864091034e+03       5.257667751962e+03 
       2.838009429999e-03      -1.161920021928e+00      -2.165102492771e+00      -2.789497943358e-01      -2.190684391491e-02       4.946250027348e-01      -9.928126652336e-01      -4.267186935293e-02       2.403246164496e-02      -1.860126073905e+00       1.305943757760e-03       7.738153925342e-03       3.731839612822e-04       1.849794588879e+03       5.439790086093e+03 
       2.953186659667e-03      -1.298806045847e+00      -2.420523585468e+00      -3.112389174647e-01      -2.451033033628e-02       5.359413667609e-01      -1.072838561098e+00      -4.948928184063e-02       2.751946740273e-02      -2.079325694072e+00       1.413246507417e-03       8.365922034497e-03       4.302123862106e-04       1.911343313492e+03       5.620789719233e+03 
       3.069325469253e-03      -1.446460957075e+00      -2.696087673025e+00      -3.459816508034e-01      -2.732245299402e-02       5.793132293734e-01      -1.156429238484e+00      -5.711815472079e-02       3.136140272000e-02      -2.315762447437e+00       1.525641589027e-03       9.022194108830e-03       4.935383378082e-04       1.972446013377e+03       5.800477703562e+03 
       3.186342263839e-03      -1.605214947085e+00      -2.992417510920e+00      -3.832424503516e-01      -3.035014467968e-02       6.247522741863e-01      -1.243562806911e+00      -6.561640679363e-02       3.557755185081e-02      -2.569961147055e+00       1.643118755303e-03       9.706849458081e-03       5.635643067054e-04       2.033046333024e+03       5.978688311363e+03 
       3.304161630640e-03      -1.775382191978e+00      -3.310106027627e+00      -4.230813401575e-01      -3.360007028394e-02       6.722920223501e-01      -1.334175440019e+00      -7.506156674944e-02       4.015566587239e-02      -2.842420351295e+00       1.765688822825e-03       1.041972640285e-02       6.406483786261e-04       2.093095033318e+03       6.155276742588e+03 
       3.422715563174e-03      -1.957260068570e+00      -3.649714813713e+00      -4.655537648711e-01      -3.707861352105e-02       7.219309527121e-01      -1.428256712901e+00      -8.550477822439e-02       4.512806017108e-02      -3.133611081792e+00       1.893340405719e-03       1.116062853681e-02       7.251919056133e-04       2.152549750681e+03       6.330118416373e+03 
       3.541942733498e-03      -2.151130252557e+00      -4.011776248146e+00      -5.107109415673e-01      -4.079189421599e-02       7.736765805181e-01      -1.525776961371e+00      -9.700597930341e-02       5.051293221932e-02      -3.443978604764e+00       2.026084320566e-03       1.192934977565e-02       8.175751758441e-04       2.211373774391e+03       6.503105375551e+03 
       3.661787819128e-03      -2.357258870514e+00      -4.396793556364e+00      -5.585998563307e-01      -4.474576903873e-02       8.275543998775e-01      -1.626672890790e+00      -1.096408752291e-01       5.630250888122e-02      -3.773942680366e+00       2.163910320078e-03       1.272568460435e-02       9.181676609158e-04       2.269535300244e+03       6.674144091738e+03 
       3.782200887106e-03      -2.575895446709e+00      -4.805238982846e+00      -6.092630507700e-01      -4.894581363000e-02       8.835709383118e-01      -1.730909395662e+00      -1.234711193683e-01       6.251233870572e-02      -4.123895824635e+00       2.306796201803e-03       1.354937114784e-02       1.027327446552e-03       2.327007195062e+03       6.843154772998e+03 
       3.903136834842e-03      -2.807276256804e+00      -5.237559895071e+00      -6.627394970224e-01      -5.339737886086e-02       9.417277152657e-01      -1.838456864178e+00      -1.385552829318e-01       6.916297661038e-02      -4.494208861238e+00       2.454752782321e-03       1.440016062475e-02       1.145434251636e-03       2.383766463362e+03       7.010069795290e+03 
       4.024554885575e-03      -3.051620865416e+00      -5.694172365312e+00      -7.190637233188e-01      -5.810553095165e-02       1.002041485622e+00      -1.949257692924e+00      -1.549650530873e-01       7.625265323043e-02      -4.885225042385e+00       2.607748181185e-03       1.527778148202e-02       1.272825098026e-03       2.439793745791e+03       7.174832227455e+03 
       4.146418135170e-03      -3.309136188026e+00      -6.175468686440e+00      -7.782668723007e-01      -6.307511946693e-02       1.064526691791e+00      -2.063255906102e+00      -1.727709004223e-01       8.378115052640e-02      -5.297266947521e+00       2.765770443228e-03       1.618196159726e-02       1.409869457318e-03       2.495072739336e+03       7.337394126442e+03 
       4.268693146425e-03      -3.580012763810e+00      -6.681810343431e+00      -8.403757417601e-01      -6.831071200259e-02       1.129186394865e+00      -2.180412207075e+00      -1.920347726282e-01       9.176148824471e-02      -5.730630380503e+00       2.928820707038e-03       1.711238672036e-02       1.556881579623e-03       2.549589638570e+03       7.497714893817e+03 
       4.391349586775e-03      -3.864429600905e+00      -7.213537126619e+00      -9.054140689661e-01      -7.381667863042e-02       1.196026763142e+00      -2.300680435804e+00      -2.128215373039e-01       1.002010717575e-01      -6.185592142734e+00       3.096876200867e-03       1.806877391237e-02       1.714220119959e-03       2.603333484471e+03       7.655762301804e+03 
       4.514359905341e-03      -4.162551656708e+00      -7.770962254553e+00      -9.734018970413e-01      -7.959714774077e-02       1.265061489272e+00      -2.424000078080e+00      -2.352024808347e-01       1.090954059220e-01      -6.662405777124e+00       3.269915860850e-03       1.905079810659e-02       1.882177695275e-03       2.656296132838e+03       7.811512400370e+03 
       4.637699045358e-03      -4.474532149781e+00      -8.354376913550e+00      -1.044356165888e+00      -8.565604421235e-02       1.336301344293e+00      -2.550314051963e+00      -2.592467712637e-01       1.184424378651e-01      -7.161305749551e+00       3.447928870406e-03       2.005814448362e-02       2.061091896724e-03       2.708471071635e+03       7.964946039154e+03 
       4.761344188283e-03      -4.800508250297e+00      -8.964041853207e+00      -1.118289590682e+00      -9.199701084970e-02       1.409750933790e+00      -2.679573992541e+00      -2.850188093690e-01       1.282464566453e-01      -7.682500357171e+00       3.630893027082e-03       2.109048626889e-02       2.251244524676e-03       2.759852800855e+03       8.116047044057e+03 
       4.885274526161e-03      -5.140608234924e+00      -9.600201044899e+00      -1.195212550783e+00      -9.862353662549e-02       1.485416022431e+00      -2.811728441926e+00      -3.125840064250e-01       1.385089617823e-01      -8.226183228720e+00       3.818798083593e-03       2.214748814843e-02       2.452939581955e-03       2.810437600445e+03       8.264804475269e+03 
       5.009471059116e-03      -5.494945959551e+00      -1.026307105364e+01      -1.275131681312e+00      -1.055388584306e-01       1.563306904753e+00      -2.946717058974e+00      -3.420113790430e-01       1.492233073417e-01      -8.792523865697e+00       4.011611020903e-03       2.322881253107e-02       2.666448621646e-03       2.860223749488e+03       8.411213272006e+03 
       5.133916415147e-03      -5.863628081348e+00      -1.095285482692e+01      -1.358051705126e+00      -1.127460872499e-01       1.643433733540e+00      -3.084478907059e+00      -3.733698453462e-01       1.603820873819e-01      -9.381680194724e+00       4.209331839014e-03       2.433412296426e-02       2.892043196833e-03       2.909210777539e+03       8.555272050832e+03 
       5.258594689683e-03      -6.246743699899e+00      -1.166972192147e+01      -1.443972785046e+00      -1.202480204557e-01       1.725802719217e+00      -3.224958248914e+00      -4.067249139582e-01       1.719808938621e-01      -9.993782617639e+00       4.411928088186e-03       2.546305054569e-02       3.129983474728e-03       2.957398634695e+03       8.696980664969e+03 
       5.383491302649e-03      -6.644374876612e+00      -1.241382860272e+01      -1.532893205219e+00      -1.280473316391e-01       1.810418977457e+00      -3.368100553606e+00      -4.421411165947e-01       1.840158715254e-01      -1.062895025459e+01       4.619378135259e-03       2.661525882281e-02       3.380519944548e-03       3.004788201769e+03       8.836341704670e+03 
       5.508592871017e-03      -7.056596051189e+00      -1.318531633557e+01      -1.624809381373e+00      -1.361465628128e-01       1.897289522527e+00      -3.513847076858e+00      -4.796841901660e-01       1.964786927439e-01      -1.128728756699e+01       4.831681980233e-03       2.779037832400e-02       3.643890571051e-03       3.051382871956e+03       8.973365148529e+03 
