# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       4.885274526161e-03      -2.486965881972e+00      -1.799144093387e+00       1.450013428759e-02      -2.682597607052e-02       1.972752717996e-02      -3.624238439418e-02       2.021561851585e-06       1.946016580477e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.123924148491e+03 
       5.009471059116e-03      -2.658522464746e+00      -1.903779551299e+00       1.597471763450e-02      -2.870679847469e-02       2.164535119890e-02      -3.982060124651e-02       2.195196423462e-06       2.117601695112e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.143833432167e+03 
       5.133916415147e-03      -2.837034378233e+00      -2.012200290698e+00       1.755839586756e-02      -3.066697882109e-02       2.369451923953e-02      -4.365057057995e-02       2.379647575226e-06       2.298921731645e-05       1.707881034851e-09      -9.108698852539e-09       1.707881034851e-09       1.163422998488e+03 
       5.258594689683e-03      -3.022547498394e+00      -2.124429449958e+00       1.925605466512e-02      -3.270729543623e-02       2.588294562257e-02      -4.774473601573e-02       2.575484600555e-06       2.488951961456e-05       1.707881034851e-09      -9.108698852539e-09       1.707881034851e-09       1.182693079600e+03 
       5.383491302649e-03      -3.215101782815e+00      -2.240527759619e+00       2.107246129245e-02      -3.482846763292e-02       2.821297697656e-02      -5.211108986779e-02       2.770752332207e-06       2.690880429144e-05       1.707881034851e-09      -9.108698852539e-09       1.707881034851e-09       1.201644040096e+03 
       5.508592871017e-03      -3.414725602815e+00      -2.360364038478e+00       2.301340318908e-02      -3.703109478625e-02       3.069219230824e-02      -5.676180306569e-02       2.988222517311e-06       2.902657677465e-05       1.707881034851e-09      -9.108698852539e-09       1.707881034851e-09       1.220274569815e+03 
       5.633887095065e-03      -3.621482479044e+00      -2.484047359218e+00       2.508276749224e-02      -3.931615231463e-02       3.332460855380e-02      -6.170626952441e-02       3.205123408737e-06       3.124169847685e-05       1.707881034851e-09      -9.108698852539e-09       1.707881034851e-09       1.238596795675e+03 
       5.759362656773e-03      -3.835382562577e+00      -2.611760446893e+00       2.728577690215e-02      -4.168405145458e-02       3.611526453158e-02      -6.695466309127e-02       3.433410173729e-06       3.356555527161e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.256606795717e+03 
       5.885009128951e-03      -4.056390159840e+00      -2.743465426395e+00       2.962897943468e-02      -4.413471773417e-02       3.907088189206e-02      -7.251852562631e-02       3.671944224930e-06       3.600839444512e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.274287935092e+03 
       6.010816893888e-03      -4.284526932457e+00      -2.878902596764e+00       3.211671823130e-02      -4.666868846596e-02       4.219471756435e-02      -7.840663165299e-02       3.921864149696e-06       3.854915213130e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.291645712618e+03 
       6.136777070431e-03      -4.519829764966e+00      -3.018118648621e+00       3.475391255870e-02      -4.928666514604e-02       4.549338503313e-02      -8.463043706801e-02       4.182600654350e-06       4.119864491003e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.308690530028e+03 
       6.262881448544e-03      -4.762321783213e+00      -3.161145049105e+00       3.754612156965e-02      -5.198920425540e-02       4.897204096053e-02      -9.120022331518e-02       4.454153738892e-06       4.396768936121e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.325429347214e+03 
       6.389122430502e-03      -5.012012389086e+00      -3.308032116375e+00       4.049867669942e-02      -5.477671805591e-02       5.263478027598e-02      -9.812537349291e-02       4.725137529755e-06       4.684489961125e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.341865786207e+03 
       6.515492978000e-03      -5.268903373011e+00      -3.459045119654e+00       4.361580210713e-02      -5.764953910422e-02       5.648821475625e-02      -1.054173423593e-01       5.007507194183e-06       4.984223082742e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.358002194030e+03 
       6.641986564499e-03      -5.532928193097e+00      -3.613771221967e+00       4.690528288383e-02      -6.060727047719e-02       6.053693746275e-02      -1.130858591433e-01       5.300693438499e-06       5.294772784245e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.373827007570e+03 
       6.768597132253e-03      -5.804110789283e+00      -3.771937779464e+00       5.037278748665e-02      -6.365048347347e-02       6.478542304378e-02      -1.211405779272e-01       5.604696262703e-06       5.617277652993e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.389350266732e+03 
       6.895319053508e-03      -6.082643896512e+00      -3.934098721723e+00       5.401816391421e-02      -6.678155438139e-02       6.923994682356e-02      -1.295925623642e-01       5.908699086906e-06       5.950599101628e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.404620835800e+03 
       7.022147095415e-03      -6.368366071067e+00      -4.100472411015e+00       5.785044628786e-02      -6.999907254149e-02       7.390518896542e-02      -1.384515524999e-01       6.223518490997e-06       6.295875717507e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.419607705458e+03 
       7.149076388277e-03      -6.661083660871e+00      -4.270902800525e+00       6.187883154700e-02      -7.330128298253e-02       7.878567763128e-02      -1.477271044981e-01       6.549723768654e-06       6.653164429998e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.434273827212e+03 
       7.276102396759e-03      -6.960871208102e+00      -4.444922087406e+00       6.610434043517e-02      -7.668930001660e-02       8.388719969138e-02      -1.574297719248e-01       6.886176332520e-06       7.021269722376e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.448645145987e+03 
       7.403220893776e-03      -7.267724843838e+00      -4.622518664330e+00       7.053207667022e-02      -8.016339699112e-02       8.921458844904e-02      -1.675692845784e-01       7.222628896385e-06       7.401273252631e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.462730605538e+03 
       7.530427936763e-03      -7.581582402919e+00      -4.803920469653e+00       7.516965113931e-02      -8.372322291910e-02       9.477227300908e-02      -1.781549913996e-01       7.570467333817e-06       7.792207221508e-05       1.707881034851e-09      -9.108698852539e-09       1.252446092224e-08       1.476526251733e+03 
