# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  131       5.078890373530e-10       1.487217185389e-13      -5.614378961177e-12       7.656582668646e-16       5.237371828172e-12       8.519091657181e-13      -5.246240782713e-15 
  132       5.126936465216e-10       1.493442839947e-13      -5.672907462008e-12       7.779811579374e-16       5.127521058230e-12       8.380925460391e-13      -5.184795503058e-15 
  133       5.174970773382e-10       1.499023992887e-13      -5.729273202210e-12       7.904266896600e-16       5.020594516323e-12       8.245935792446e-13      -5.124072799004e-15 
  134       5.222982670742e-10       1.503955801782e-13      -5.783410025356e-12       8.029957924700e-16       4.916563735242e-12       8.114076754689e-13      -5.063942477463e-15 
  135       5.270960902342e-10       1.508234111934e-13      -5.835252396356e-12       8.156894093534e-16       4.815386119270e-12       7.985284336296e-13      -5.004260562801e-15 
  136       5.318893570274e-10       1.511855473068e-13      -5.884735437749e-12       8.285084958918e-16       4.717004581923e-12       7.859475950197e-13      -4.944868986674e-15 
  137       5.366768118370e-10       1.514817156018e-13      -5.931794966009e-12       8.414540203090e-16       4.621347183676e-12       7.736549968988e-13      -4.885595277879e-15 
  138       5.414571316914e-10       1.517117169417e-13      -5.976367527837e-12       8.545269635176e-16       4.528326769699e-12       7.616385260856e-13      -4.826252252189e-15 
  139       5.462289247339e-10       1.518754276391e-13      -6.018390436463e-12       8.677283191660e-16       4.437840607588e-12       7.498840725492e-13      -4.766637702203e-15 
  140       5.509907286938e-10       1.519728011245e-13      -6.057801807941e-12       8.810590936849e-16       4.349770025098e-12       7.383754830008e-13      -4.706534087184e-15 
  141       5.557410093559e-10       1.520038696154e-13      -6.094540597446e-12       8.945203063342e-16       4.263980047876e-12       7.270945144860e-13      -4.645708222905e-15 
  142       5.604781590317e-10       1.519687457852e-13      -6.128546635576e-12       9.081129892494e-16       4.180319037193e-12       7.160207879758e-13      -4.583910971491e-15 
  143       5.652004950294e-10       1.518676244326e-13      -6.159760664647e-12       9.218381874891e-16       4.098618327676e-12       7.051317419591e-13      -4.520876931262e-15 
  144       5.699063889361e-10       1.517007990257e-13      -6.188125016143e-12       9.356968721301e-16       4.018727659931e-12       6.944077996053e-13      -4.456392164064e-15 
  145       5.745946720586e-10       1.514687096508e-13      -6.213585641713e-12       9.496896698018e-16       3.940626180163e-12       6.838485423555e-13      -4.390505557313e-15 
  146       5.792642672322e-10       1.511719029859e-13      -6.236090352337e-12       9.638171064525e-16       3.864321745918e-12       6.734580500338e-13      -4.323337806829e-15 
  147       5.839140608269e-10       1.508110195880e-13      -6.255588234781e-12       9.780796914570e-16       3.789815958666e-12       6.632398141545e-13      -4.255015330593e-15 
  148       5.885429019694e-10       1.503867956477e-13      -6.272029691580e-12       9.924779171634e-16       3.717104007248e-12       6.531967214767e-13      -4.185670349605e-15 
  149       5.931496017657e-10       1.499000647439e-13      -6.285366481021e-12       1.007012258440e-15       3.646174511330e-12       6.433310375591e-13      -4.115440968750e-15 
  150       5.977329325232e-10       1.493517595983e-13      -6.295551757125e-12       1.021683172224e-15       3.577009364845e-12       6.336443903151e-13      -4.044471257664e-15 
  151       6.022916269723e-10       1.487429138295e-13      -6.302540109629e-12       1.036491097065e-15       3.509583579455e-12       6.241377535672e-13      -3.972911331588e-15 
  152       6.068243774896e-10       1.480746637078e-13      -6.306287603972e-12       1.051436452675e-15       3.443865127989e-12       6.148114306024e-13      -3.900917432241e-15 
  153       6.113298353189e-10       1.473482499097e-13      -6.306751821274e-12       1.066519639474e-15       3.379814787904e-12       6.056650377263e-13      -3.828652008678e-15 
  154       6.158066097943e-10       1.465650192722e-13      -6.303891898319e-12       1.081741038139e-15       3.317385984728e-12       5.966974878187e-13      -3.756283798152e-15 
  155       6.202532675621e-10       1.457264265473e-13      -6.297668567540e-12       1.097101009148e-15       3.256524635513e-12       5.879069738878e-13      -3.683987906979e-15 
  156       6.246683318026e-10       1.448340361569e-13      -6.288044197000e-12       1.112599892330e-15       3.197168992285e-12       5.792909526253e-13      -3.611945891404e-15 
  157       6.290502814529e-10       1.438895239466e-13      -6.274982830376e-12       1.128238006408e-15       3.139249485494e-12       5.708461279613e-13      -3.540345838457e-15 
  158       6.333975504286e-10       1.428946789408e-13      -6.258450226939e-12       1.144015648552e-15       3.082688567466e-12       5.625684346190e-13      -3.469382446821e-15 
  159       6.377085268461e-10       1.418514050967e-13      -6.238413901538e-12       1.159933093920e-15       3.027400555850e-12       5.544530216695e-13      -3.399257107696e-15 
  160       6.419815522449e-10       1.407617230591e-13      -6.214843164586e-12       1.175990595209e-15       2.973291477071e-12       5.464942360868e-13      -3.330177985657e-15 
  161       6.462150319143e-10       1.396277269305e-13      -6.187709135771e-12       1.192188368029e-15       2.920278354223e-12       5.386868941083e-13      -3.262320446356e-15 
  162       6.504077784704e-10       1.384514466020e-13      -6.156984702643e-12       1.208526546530e-15       2.868349316218e-12       5.310302561890e-13      -3.195704237205e-15 
  163       6.545586973178e-10       1.372349765440e-13      -6.122644634762e-12       1.225005222967e-15       2.817508529804e-12       5.235243737702e-13      -3.130305549428e-15 
  164       6.586666780123e-10       1.359805212315e-13      -6.084665649178e-12       1.241624461004e-15       2.767757166654e-12       5.161688226525e-13      -3.066095593605e-15 
  165       6.627305939952e-10       1.346903966909e-13      -6.043026450299e-12       1.258384295198e-15       2.719093336276e-12       5.089626924760e-13      -3.003040498092e-15 
  166       6.667493023260e-10       1.333670320481e-13      -5.997707769746e-12       1.275284730478e-15       2.671512018923e-12       5.019045761993e-13      -2.941101207447e-15 
  167       6.707216434159e-10       1.320129710755e-13      -5.948692406219e-12       1.292325741628e-15       2.625004998508e-12       4.949925595804e-13      -2.880233380853e-15 
  168       6.746464407612e-10       1.306308737401e-13      -5.895965265355e-12       1.309507272769e-15       2.579560795513e-12       4.882242106557e-13      -2.820387290542e-15 
  169       6.785225006769e-10       1.292235177504e-13      -5.839513399596e-12       1.326829236841e-15       2.535164599904e-12       4.815965692202e-13      -2.761507720218e-15 
  170       6.823486120296e-10       1.277938001044e-13      -5.779326048045e-12       1.344291515084e-15       2.491798204037e-12       4.751061363077e-13      -2.703533863483e-15 
  171       6.861235459711e-10       1.263447386370e-13      -5.715394676328e-12       1.361893956520e-15       2.449439935577e-12       4.687488636700e-13      -2.646399222258e-15 
  172       6.898460556717e-10       1.248794735671e-13      -5.647713016461e-12       1.379636377437e-15       2.408064590404e-12       4.625201432571e-13      -2.590031505210e-15 
  173       6.935148760535e-10       1.234012690459e-13      -5.576277106707e-12       1.397518560866e-15       2.367643365526e-12       4.564147966972e-13      -2.534352526171e-15 
