# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       3.260958026758e-03       1.141354517662e+04      -1.213971099478e-01      -3.028856489793e+01      -2.938540942575e+00      -1.806748184176e+00      -1.575586148749e+01       2.583756574565e+00      -2.139245309804e+01 
       3.376584766142e-03       1.174877790411e+04      -1.339837311461e-01      -3.025702778509e+01      -2.975576530972e+00      -1.795435954536e+00      -1.723485312063e+01       2.499284462077e+00      -2.359081804860e+01 
       3.492876301982e-03       1.208109113826e+04      -1.474292373148e-01      -3.020965287938e+01      -3.012876626515e+00      -1.782742180217e+00      -1.877198641121e+01       2.406374651217e+00      -2.593607868483e+01 
       3.609778859657e-03       1.241028471539e+04      -1.617562832008e-01      -3.014669476996e+01      -3.050311180218e+00      -1.768563270179e+00      -2.036712580968e+01       2.304411871336e+00      -2.843171064545e+01 
       3.727243804616e-03       1.273618310936e+04      -1.769866741346e-01      -3.006840321195e+01      -3.087738824496e+00      -1.752789870837e+00      -2.202010896113e+01       2.192640054956e+00      -3.108101715363e+01 
       3.845227122414e-03       1.305863352038e+04      -1.931412655034e-01      -2.997501887918e+01      -3.125021448039e+00      -1.735312364731e+00      -2.373074803958e+01       2.070992587890e+00      -3.388710943706e+01 
       3.963688947416e-03       1.337750353048e+04      -2.102400407063e-01      -2.986677285049e+01      -3.162024234591e+00      -1.716021016752e+00      -2.549883292202e+01       1.940011505495e+00      -3.685292255223e+01 
       4.082593137699e-03       1.369267900100e+04      -2.283021755143e-01      -2.974389214686e+01      -3.198606011429e+00      -1.694803047514e+00      -2.732413417179e+01       1.798384366249e+00      -3.998122908195e+01 
       4.201906893053e-03       1.400406272686e+04      -2.473458331372e-01      -2.960658660540e+01      -3.234616885960e+00      -1.671541670889e+00      -2.920640307574e+01       1.642089697743e+00      -4.327459841762e+01 
       4.321600412638e-03       1.431157066835e+04      -2.673886023634e-01      -2.945506942400e+01      -3.269906191128e+00      -1.646117939007e+00      -3.114537710102e+01       1.470207943830e+00      -4.673548509555e+01 
       4.441646588792e-03       1.461512885710e+04      -2.884468316955e-01      -2.928953162474e+01      -3.304325355084e+00      -1.618408246617e+00      -3.314077592054e+01       1.292885358879e+00      -5.036609797419e+01 
