# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  119       4.501806520430e-10       1.360531162545e-13      -4.775573025230e-12       0.000000000000e+00       6.814933575862e-12       1.046106691740e-12      -6.024644953743e-15 
  120       4.549134472192e-10       1.373736392798e-13      -4.854906603307e-12       0.000000000000e+00       6.661384499511e-12       1.027509801632e-12      -5.961897382610e-15 
  121       4.596591652988e-10       1.386416471898e-13      -4.932943486571e-12       0.000000000000e+00       6.512374633784e-12       1.009406517761e-12      -5.897843812521e-15 
  122       4.644168792478e-10       1.398558035502e-13      -5.009610040653e-12       0.000000000000e+00       6.367808383681e-12       9.917875818592e-13      -5.832739446313e-15 
  123       4.691855699449e-10       1.410148064745e-13      -5.084832545758e-12       0.000000000000e+00       6.227560615170e-12       9.746403214755e-13      -5.766852576310e-15 
  124       4.739641235784e-10       1.421173899761e-13      -5.158537226893e-12       0.000000000000e+00       6.091475847930e-12       9.579485549236e-13      -5.700464795561e-15 
  125       4.787513290415e-10       1.431623253215e-13      -5.230650284094e-12       0.000000000000e+00       5.959367448085e-12       9.416924962277e-13      -5.633871209089e-15 
  126       4.835458753291e-10       1.441484223823e-13      -5.301097922656e-12       0.000000000000e+00       5.831016820948e-12       9.258486600684e-13      -5.567380645131e-15 
  127       4.883463489334e-10       1.450745309883e-13      -5.369806383357e-12       0.000000000000e+00       5.706172603752e-12       9.103897667294e-13      -5.501315866377e-15 
  128       4.931512312406e-10       1.459395422801e-13      -5.436701972690e-12       0.000000000000e+00       5.584549858397e-12       8.952846470434e-13      -5.436013781219e-15 
  129       4.979590458164e-10       1.467424335477e-13      -5.501711911720e-12       0.000000000000e+00       5.465891452100e-12       8.805049455590e-13      -5.371752789373e-15 
  130       5.027688240639e-10       1.474824054358e-13      -5.564766923740e-12       0.000000000000e+00       5.350161527127e-12       8.660462633390e-13      -5.308525358665e-15 
  131       5.075796859659e-10       1.481587624168e-13      -5.625798988932e-12       0.000000000000e+00       5.237371828172e-12       8.519091657181e-13      -5.246240782713e-15 
  132       5.123906932585e-10       1.487708723006e-13      -5.684740586909e-12       0.000000000000e+00       5.127521058230e-12       8.380925460391e-13      -5.184795503058e-15 
  133       5.172008478989e-10       1.493181678988e-13      -5.741524732802e-12       0.000000000000e+00       5.020594516323e-12       8.245935792446e-13      -5.124072799004e-15 
  134       5.220090905348e-10       1.498001486883e-13      -5.796085013347e-12       0.000000000000e+00       4.916563735242e-12       8.114076754689e-13      -5.063942477463e-15 
  135       5.268142989727e-10       1.502163824752e-13      -5.848355622969e-12       0.000000000000e+00       4.815386119270e-12       7.985284336296e-13      -5.004260562801e-15 
  136       5.316152866466e-10       1.505665070585e-13      -5.898271399868e-12       0.000000000000e+00       4.717004581923e-12       7.859475950197e-13      -4.944868986674e-15 
  137       5.364108010871e-10       1.508502318940e-13      -5.945767862104e-12       0.000000000000e+00       4.621347183676e-12       7.736549968988e-13      -4.885595277879e-15 
  138       5.411995223894e-10       1.510673397580e-13      -5.990781243684e-12       0.000000000000e+00       4.528326769699e-12       7.616385260856e-13      -4.826252252189e-15 
  139       5.459800616827e-10       1.512176884112e-13      -6.033248530648e-12       0.000000000000e+00       4.437840607588e-12       7.498840725492e-13      -4.766637702203e-15 
  140       5.507509595983e-10       1.513012122625e-13      -6.073107497152e-12       0.000000000000e+00       4.349770025098e-12       7.383754830008e-13      -4.706534087184e-15 
  141       5.555106847389e-10       1.513179240327e-13      -6.110296741558e-12       0.000000000000e+00       4.263980047876e-12       7.270945144860e-13      -4.645708222905e-15 
  142       5.602576321466e-10       1.512679164182e-13      -6.144755722514e-12       0.000000000000e+00       4.180319037193e-12       7.160207879758e-13      -4.583910971491e-15 
  143       5.649901217721e-10       1.511513637552e-13      -6.176424795045e-12       0.000000000000e+00       4.098618327676e-12       7.051317419591e-13      -4.520876931262e-15 
  144       5.697065272882e-10       1.509685397479e-13      -6.205245895809e-12       0.000000000000e+00       4.018727659931e-12       6.944077996053e-13      -4.456392164064e-15 
  145       5.744056800753e-10       1.507198691120e-13      -6.231164598830e-12       0.000000000000e+00       3.940626180163e-12       6.838485423555e-13      -4.390505557313e-15 
  146       5.790865023381e-10       1.504058842090e-13      -6.254128331976e-12       0.000000000000e+00       3.864321745918e-12       6.734580500338e-13      -4.323337806829e-15 
  147       5.837478795614e-10       1.500272111797e-13      -6.274085785444e-12       0.000000000000e+00       3.789815958666e-12       6.632398141545e-13      -4.255015330593e-15 
  148       5.883886597281e-10       1.495845716997e-13      -6.290986951581e-12       0.000000000000e+00       3.717104007248e-12       6.531967214767e-13      -4.185670349605e-15 
  149       5.930076525369e-10       1.490787847358e-13      -6.304783164698e-12       0.000000000000e+00       3.646174511330e-12       6.433310375591e-13      -4.115440968750e-15 
  150       5.976036286202e-10       1.485107683022e-13      -6.315427140887e-12       0.000000000000e+00       3.577009364845e-12       6.336443903151e-13      -4.044471257664e-15 
  151       6.021753187618e-10       1.478815412164e-13      -6.322873017839e-12       0.000000000000e+00       3.509583579455e-12       6.241377535672e-13      -3.972911331588e-15 
  152       6.067214131147e-10       1.471922248557e-13      -6.327076394657e-12       0.000000000000e+00       3.443865127989e-12       6.148114306024e-13      -3.900917432241e-15 
  153       6.112405604190e-10       1.464440449128e-13      -6.327994371678e-12       0.000000000000e+00       3.379814787904e-12       6.056650377263e-13      -3.828652008678e-15 
  154       6.157313672196e-10       1.456383331524e-13      -6.325585590283e-12       0.000000000000e+00       3.317385984728e-12       5.966974878187e-13      -3.756283798152e-15 
  155       6.201923970840e-10       1.447765291670e-13      -6.319810272719e-12       0.000000000000e+00       3.256524635513e-12       5.879069738878e-13      -3.683987906979e-15 
  156       6.246221698204e-10       1.438601821332e-13      -6.310630261914e-12       0.000000000000e+00       3.197168992285e-12       5.792909526253e-13      -3.611945891404e-15 
  157       6.290191606950e-10       1.428909525680e-13      -6.298009061292e-12       0.000000000000e+00       3.139249485494e-12       5.708461279613e-13      -3.540345838457e-15 
  158       6.333817996499e-10       1.418706140843e-13      -6.281911874589e-12       0.000000000000e+00       3.082688567466e-12       5.625684346190e-13      -3.469382446821e-15 
  159       6.377084705215e-10       1.408010551477e-13      -6.262305645675e-12       0.000000000000e+00       3.027400555850e-12       5.544530216695e-13      -3.399257107696e-15 
  160       6.419975102574e-10       1.396842808323e-13      -6.239159098363e-12       0.000000000000e+00       2.973291477071e-12       5.464942360868e-13      -3.330177985657e-15 
  161       6.462473195376e-10       1.385223705302e-13      -6.212442769553e-12       0.000000000000e+00       2.920278354223e-12       5.386868941083e-13      -3.262320446356e-15 
  162       6.504567072717e-10       1.373173431908e-13      -6.182129028349e-12       0.000000000000e+00       2.868349316218e-12       5.310302561890e-13      -3.195704237205e-15 
  163       6.546245752131e-10       1.360712834648e-13      -6.148192134733e-12       0.000000000000e+00       2.817508529804e-12       5.235243737702e-13      -3.130305549428e-15 
  164       6.587498090289e-10       1.347863862204e-13      -6.110608285866e-12       0.000000000000e+00       2.767757166654e-12       5.161688226525e-13      -3.066095593605e-15 
  165       6.628312780304e-10       1.334649580968e-13      -6.069355655875e-12       0.000000000000e+00       2.719093336276e-12       5.089626924760e-13      -3.003040498092e-15 
  166       6.668678349030e-10       1.321094190574e-13      -6.024414435635e-12       0.000000000000e+00       2.671512018923e-12       5.019045761993e-13      -2.941101207447e-15 
  167       6.708583154370e-10       1.307223039436e-13      -5.975766872559e-12       0.000000000000e+00       2.625004998508e-12       4.949925595804e-13      -2.880233380853e-15 
  168       6.748015382577e-10       1.293062640281e-13      -5.923397310384e-12       0.000000000000e+00       2.579560795513e-12       4.882242106557e-13      -2.820387290542e-15 
  169       6.786963045558e-10       1.278640685682e-13      -5.867292228950e-12       0.000000000000e+00       2.535164599904e-12       4.815965692202e-13      -2.761507720218e-15 
  170       6.825413978178e-10       1.263986063599e-13      -5.807440283996e-12       0.000000000000e+00       2.491798204037e-12       4.751061363077e-13      -2.703533863483e-15 
  171       6.863355835564e-10       1.249128872904e-13      -5.743832346936e-12       0.000000000000e+00       2.449439935577e-12       4.687488636700e-13      -2.646399222258e-15 
  172       6.900776090406e-10       1.234100438925e-13      -5.676461544654e-12       0.000000000000e+00       2.408064590404e-12       4.625201432571e-13      -2.590031505210e-15 
  173       6.937662030263e-10       1.218933328974e-13      -5.605323299281e-12       0.000000000000e+00       2.367643365526e-12       4.564147966972e-13      -2.534352526171e-15 
  174       6.974000754866e-10       1.203661367888e-13      -5.530415367987e-12       0.000000000000e+00       2.328143791994e-12       4.504270647764e-13      -2.479278102567e-15 
