# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       3.265715193731e-04      -7.138629614154e-04      -1.772351836036e-03      -1.074242938579e-03      -7.491969573770e-05      -2.318831827323e-01       2.038929863122e-03      -6.504090895284e-03      -5.735110058524e-04      -1.500868774617e-04      -4.856541498071e-02       9.207015870779e-05      -6.403198392444e-03      -1.693849653562e-03       8.847374997122e+01       3.716653949684e+02       7.025411894617e+02 
       3.496678873628e-04      -8.737747091769e-04      -2.169487690244e-03      -1.314669891261e-03      -9.171419464256e-05      -2.330420147413e-01       1.780727853924e-03      -7.627393855177e-03      -1.563195046515e-04      -1.782060001131e-05      -5.566965299446e-02       1.036672402281e-04      -7.830493929254e-03      -2.071407498175e-03       9.447134304998e+01       3.968604173019e+02       7.501661416573e+02 
       3.741067060224e-04      -1.067000384404e-03      -2.649364687655e-03      -1.605099615586e-03      -1.120100876282e-04      -2.343550575913e-01       1.600651724078e-03      -8.864721215186e-03       2.154292672677e-04       1.011008643264e-04      -6.371443589574e-02       1.175984258294e-04      -9.554712554084e-03      -2.527526162509e-03       1.007955061045e+02       4.234273137016e+02       8.003842852642e+02 
       4.000254369668e-04      -1.300684053466e-03      -3.229735682330e-03      -1.956250203638e-03      -1.365596233893e-04      -2.358450818906e-01       1.959131398944e-03      -1.009433920021e-02       1.356524362488e-04       8.145795525090e-05      -7.283914214793e-02       1.345918421262e-04      -1.163957132329e-02      -3.079035675577e-03       1.074786241997e+02       4.515021292468e+02       8.534527805495e+02 
       4.275731119149e-04      -1.583600239826e-03      -3.932459843637e-03      -2.381291695369e-03      -1.662881787740e-04      -2.375388541202e-01       2.632277337901e-03      -1.140923908611e-02      -1.912513647510e-04      -1.340117318680e-05      -8.320606257706e-02       1.554183127588e-04      -1.416344717473e-02      -3.746676544665e-03       1.145554068975e+02       4.812306739837e+02       9.096472462042e+02 
       4.569104556571e-04      -1.926563246197e-03      -4.784400432370e-03      -2.896404555703e-03      -2.023347996243e-04      -2.394674172951e-01       3.236309316434e-03      -1.295569462131e-02      -4.188111417156e-04      -7.616295474918e-05      -9.500400229295e-02       1.810006627798e-04      -1.722277333388e-02      -4.555965081729e-03       1.220628096698e+02       5.127681927601e+02       9.692611351764e+02 
       4.882096147796e-04      -2.342896821824e-03      -5.818631703359e-03      -3.521512355499e-03      -2.461014258048e-04      -2.416667678545e-01       3.571443396140e-03      -1.482759827357e-02      -3.648449474827e-04      -5.020031655106e-05      -1.084521171593e-01       2.126420054188e-04      -2.093624240899e-02      -5.538293278774e-03       1.300398395926e+02       5.462785489671e+02       1.032604191936e+03 
       5.216533592001e-04      -2.848920339291e-03      -7.075808056756e-03      -4.281080490582e-03      -2.993120371454e-04      -2.441786447031e-01       3.799589545594e-03      -1.701220298815e-02      -1.673842965826e-04       2.239885977207e-05      -1.238040497122e-01       2.521669269147e-04      -2.544970573258e-02      -6.732241029793e-03       1.385272126784e+02       5.819327850818e+02       1.099999731420e+03 
       5.574336111076e-04      -3.464723033916e-03      -8.605824098407e-03      -5.205120415789e-03      -3.640827854351e-04      -2.470510763020e-01       4.175442355640e-03      -1.947376224569e-02      -4.439124385785e-05       7.501867445583e-05      -1.413520309212e-01       3.019527976680e-04      -3.094219648847e-02      -8.185183816103e-03       1.475668302229e+02       6.199069226827e+02       1.171780480630e+03 
       5.957491561832e-04      -4.214832923827e-03      -1.046971437285e-02      -6.330302044820e-03      -4.430037657513e-04      -2.503390911475e-01       4.865755345465e-03      -2.220995218939e-02      -1.344944929072e-04       6.571299999061e-05      -1.614308271023e-01       3.650185820546e-04      -3.763272821692e-02      -9.955040437947e-03       1.572010441154e+02       6.603788765148e+02       1.248282745400e+03 
