# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.004458088705e-02       1.058658600723e+04 
       3.018821938872e-02       1.054749226530e+04 
       3.033218856694e-02       1.050838372473e+04 
       3.047649652890e-02       1.046928282236e+04 
       3.062115161618e-02       1.043000595738e+04 
       3.076616241298e-02       1.039070123858e+04 
       3.091153775478e-02       1.035134048679e+04 
       3.105728673736e-02       1.031202526072e+04 
       3.120341872625e-02       1.027250870485e+04 
       3.134994336655e-02       1.023308510766e+04 
       3.149687059328e-02       1.019370191618e+04 
       3.164421064212e-02       1.015397016592e+04 
       3.179197406071e-02       1.011437510009e+04 
       3.194017172047e-02       1.007489231388e+04 
       3.208881482898e-02       1.003528455320e+04 
       3.223791494288e-02       9.995517759136e+03 
       3.238748398155e-02       9.955915694978e+03 
       3.253753424128e-02       9.916097966818e+03 
       3.268807841027e-02       9.876395952335e+03 
       3.283912958428e-02       9.836594659993e+03 
       3.299070128317e-02       9.796871777499e+03 
       3.314280746815e-02       9.757155210416e+03 
       3.329546256005e-02       9.717346289471e+03 
       3.344868145841e-02       9.677590902481e+03 
       3.360247956165e-02       9.637841121922e+03 
       3.375687278828e-02       9.598141970050e+03 
       3.391187759922e-02       9.558304040596e+03 
       3.406751102139e-02       9.518610118844e+03 
       3.422379067250e-02       9.478729647722e+03 
       3.438073478725e-02       9.439066142363e+03 
       3.453836224503e-02       9.399359828259e+03 
       3.469669259906e-02       9.359566583091e+03 
       3.485574610736e-02       9.319799894461e+03 
       3.501554376532e-02       9.280096072509e+03 
       3.517610734033e-02       9.240389260255e+03 
       3.533745940834e-02       9.200788831964e+03 
       3.549962339264e-02       9.161057762891e+03 
       3.566262360500e-02       9.121515405460e+03 
       3.582648528929e-02       9.081748121762e+03 
       3.599123466777e-02       9.042154056578e+03 
       3.615689899035e-02       9.002644044782e+03 
       3.632350658692e-02       8.962950557826e+03 
       3.649108692302e-02       8.923391246698e+03 
       3.665967065914e-02       8.883926241290e+03 
       3.682928971394e-02       8.844354157408e+03 
       3.699997733162e-02       8.804860203657e+03 
       3.717176815392e-02       8.765441922760e+03 
       3.734469829692e-02       8.725903926337e+03 
       3.751880543328e-02       8.686456038553e+03 
       3.769412888017e-02       8.647073023663e+03 
       3.787070969345e-02       8.607652803488e+03 
       3.804859076874e-02       8.568230736917e+03 
       3.822781694972e-02       8.528889815518e+03 
       3.840843514462e-02       8.489539427517e+03 
       3.859049445137e-02       8.450214886155e+03 
       3.877404629234e-02       8.410901127773e+03 
       3.895914455951e-02       8.371590182653e+03 
