# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       1.398239619509e-03      -5.124595134371e-02      -1.274854123317e-01      -7.657053315733e-02      -5.415569993048e-03      -3.348906577000e-01       2.894155504097e-02      -1.229301987177e-01      -3.271957347980e-03       1.038583521159e-03      -8.958366404556e-01       6.961440372551e-03      -4.630220800183e-01      -1.227698070553e-01       3.487765226810e+02       1.465236875290e+03       2.770007533473e+03 
       1.485304683764e-03      -6.104965587387e-02      -1.518963557849e-01      -9.116864060979e-02      -6.455525486359e-03      -3.540622667567e-01       3.283592572177e-02      -1.386084031556e-01      -4.069583904044e-03       1.307622604817e-03      -1.010517002951e+00       8.712360009480e-03      -5.516543430874e-01      -1.462702091057e-01       3.684399992554e+02       1.547844645885e+03       2.926176239528e+03 
       1.575563203249e-03      -7.240739551526e-02      -1.801822325249e-01      -1.080684058193e-01      -7.661406131493e-03      -3.751553381882e-01       3.716192917651e-02      -1.558358538063e-01      -5.044191909518e-03       1.635948501425e-03      -1.136628081706e+00       1.085034924980e-02      -6.543497904673e-01      -1.734993156687e-01       3.886002708167e+02       1.632539490235e+03       3.086290526061e+03 
       1.668820731233e-03      -8.548000370210e-02      -2.127451842051e-01      -1.275051747925e-01      -9.050657821917e-03      -3.982508859007e-01       4.198452067528e-02      -1.746614564126e-01      -6.256197086718e-03       2.024039417673e-03      -1.274638614918e+00       1.344059165038e-02      -7.725656881604e-01      -2.048434574043e-01       4.091919185570e+02       1.719046578977e+03       3.249830832441e+03 
       1.764875244855e-03      -1.004298367292e-01      -2.499915544357e-01      -1.497159535963e-01      -1.064096352118e-02      -4.234208151015e-01       4.727767211113e-02      -1.951540209320e-01      -7.697076539986e-03       2.495511363217e-03      -1.424961224368e+00       1.655422045631e-02      -9.077735931484e-01      -2.406927786713e-01       4.301492824492e+02       1.807090069276e+03       3.416275682083e+03 
       1.863522970598e-03      -1.174193795518e-01      -2.923282179779e-01      -1.749372706603e-01      -1.245009459461e-02      -4.507282348414e-01       5.312112843463e-02      -2.173415184708e-01      -9.446714696845e-03       3.048269906615e-03      -1.587953782293e+00       2.026810283864e-02      -1.061446277286e+00      -2.814377255537e-01       4.514081740087e+02       1.896400300336e+03       3.585115285451e+03 
       1.964563180755e-03      -1.366099551966e-01      -3.401593909914e-01      -2.034032235301e-01      -1.449577456100e-02      -4.802278496885e-01       5.952448793718e-02      -2.412660363415e-01      -1.153244220820e-02       3.698113516733e-03      -1.763922152540e+00       2.466453361432e-02      -1.235045711787e+00      -3.274658896973e-01       4.729069433415e+02       1.986718276337e+03       3.755860014953e+03 
       2.067801897985e-03      -1.581606186245e-01      -3.938838585742e-01      -2.353438899686e-01      -1.679556554797e-02      -5.119666981023e-01       6.649767568478e-02      -2.669624306879e-01      -1.398476126005e-02       4.461318869126e-03      -1.953124103885e+00       2.983081567679e-02      -1.430013212754e+00      -3.791593684945e-01       4.945873877088e+02       2.077799483050e+03       3.928047620241e+03 
       2.173054556912e-03      -1.822272413059e-01      -4.538927516707e-01      -2.709839747449e-01      -1.936677250724e-02      -5.459847399446e-01       7.414086003872e-02      -2.944311888255e-01      -1.691069166308e-02       5.331870806791e-03      -2.155773670256e+00       3.585898445784e-02      -1.647761020183e+00      -4.368925380074e-01       5.163952779919e+02       2.169416099819e+03       4.101247409931e+03 
       2.280147742849e-03      -2.089617870796e-01      -5.205676991447e-01      -3.105417308230e-01      -2.222636773098e-02      -5.823157986607e-01       8.237221186425e-02      -3.237234003076e-01      -2.027319517059e-02       6.349619317912e-03      -2.372045728424e+00       4.284531036495e-02      -1.889665769874e+00      -5.010303507802e-01       5.382806943795e+02       2.261358409697e+03       4.275062917371e+03 
